repeat,thickness_um,success,error
0,7.467819246086277,True,
1,7.4549485338750365,True,
2,7.475433954476987,True,
3,7.4665428373586495,True,
4,7.486455221051173,True,
5,7.47619249278427,True,
6,7.480308557840105,True,
7,7.4857306431056205,True,
8,7.472720101785788,True,
9,7.467710869225085,True,
10,7.479377222031781,True,
11,7.47504401087587,True,
12,7.484716937644243,True,
13,7.476416562460594,True,
14,7.489217562945349,True,
15,7.457090230420443,True,
16,7.467503047642557,True,
17,7.460815112772089,True,
18,7.477063027543777,True,
19,7.476918912394826,True,
20,7.483139680738319,True,
21,7.487210613758774,True,
22,7.475605868315611,True,
23,7.47673081428116,True,
24,7.471132538221702,True,
25,7.484350702817228,True,
26,7.487287131980594,True,
27,7.476123653913195,True,
28,7.479785711329679,True,
29,7.482778390961788,True,
30,7.486414441732766,True,
31,7.4827555778994626,True,
32,7.476904874040563,True,
33,7.48230214226535,True,
34,7.480378761007287,True,
35,7.485963073438695,True,
36,7.460449449226562,True,
37,7.4769389568460625,True,
38,7.495673254853992,True,
39,7.468221740688463,True,
40,7.481791341603628,True,
41,7.472330369048779,True,
42,7.49375719483225,True,
43,7.464100725209031,True,
44,7.476251145523554,True,
45,7.478326095477735,True,
46,7.476716772610977,True,
47,7.476567425064369,True,
48,7.474067412545576,True,
49,7.471888981808663,True,
50,7.475428972255653,True,
51,7.466631460611392,True,
52,7.4764689584271995,True,
53,7.4814561694039075,True,
54,7.4843154184378005,True,
55,7.488323414161776,True,
56,7.471887499119989,True,
57,7.4745142876317345,True,
58,7.4828442456896616,True,
59,7.47559668493437,True,
60,7.479022228448595,True,
61,7.476040991592343,True,
62,7.4696388440957415,True,
63,7.467963523176016,True,
64,7.451922625689164,True,
65,7.471447357544456,True,
66,7.47051808811658,True,
67,7.484200772026192,True,
68,7.478045443455641,True,
69,7.467433744280427,True,
70,7.478669861538455,True,
71,7.492363706805945,True,
72,7.4719203365852005,True,
73,7.464758356040443,True,
74,7.493284227374595,True,
75,7.463938167867369,True,
76,7.472841243965618,True,
77,7.46233274170679,True,
78,7.472219847237739,True,
79,7.478505676265456,True,
80,7.4668914989531565,True,
81,7.472968917115489,True,
82,7.470131829348371,True,
83,7.482167258009284,True,
84,7.458056391432371,True,
85,7.479158045948103,True,
86,7.479099249849641,True,
87,7.468057520690113,True,
88,7.479297172142066,True,
89,7.482146936989231,True,
90,7.495453028606018,True,
91,7.491836439155,True,
92,7.476277484973139,True,
