wavenumber_cm1,normalized_observed,normalized_fitted,residual
1500.347,-1.2391844898773892,-0.7405969397441656,-0.49858755013322353
1500.829,-1.2483908523714515,-0.7401181456230344,-0.5082727067484172
1501.311,-1.2524469741122428,-0.7396566054632305,-0.5127903686490123
1501.793,-1.2517043241614236,-0.7392108197020361,-0.5124935044593876
1502.276,-1.246525891361605,-0.7387781162002973,-0.5077477751613078
1502.758,-1.2372673888747159,-0.7383582079552415,-0.49890918091947434
1503.24,-1.2243054663849176,-0.7379478292486198,-0.48635763713629776
1503.722,-1.208018942505658,-0.7375443488645037,-0.4704745936411543
1504.204,-1.1887935052470764,-0.7371448663513134,-0.451648638895763
1504.686,-1.1670217182940086,-0.7367462184810396,-0.430275499812969
1505.168,-1.1431030238462239,-0.7363449862109666,-0.4067580376352573
1505.65,-1.1165525625427415,-0.735937502134024,-0.3806150604087175
1506.133,-1.090659054175019,-0.7355189785287005,-0.35514007564631844
1506.615,-1.0628616094130674,-0.7350870011121616,-0.32777460830090577
1507.097,-1.0341622174637655,-0.7346363517220139,-0.29952586574175155
1507.579,-1.0065332347834846,-0.7341624528043582,-0.27237078197912634
1508.061,-0.9811572834707813,-0.7336605225003257,-0.2474967609704557
1508.543,-0.9560165843325105,-0.7331255846931318,-0.22289099963937864
1509.025,-0.9342382010198297,-0.7325524794249905,-0.20168572159483922
1509.507,-0.9121240327910067,-0.7319358736642896,-0.18018815912671715
1509.99,-0.8929305163418881,-0.7312688366650606,-0.16166167967682754
1510.471,-0.8797319091147255,-0.7305500300620273,-0.1491818790526982
1510.954,-0.8646293025550332,-0.7297676756528526,-0.13486162690218062
1511.436,-0.8520579668634162,-0.7289205270217276,-0.12313743984168857
1511.918,-0.8417975844809688,-0.7280010027972088,-0.11379658168375995
1512.4,-0.8271479864944864,-0.727002974419129,-0.10014501207535742
1512.882,-0.8119838294204562,-0.7259202236970465,-0.08606360572340976
1513.364,-0.7944832681840912,-0.7247464556124857,-0.06973681257160547
1513.846,-0.7786017632584177,-0.7234753112736945,-0.05512645198472321
1514.328,-0.7621394248986899,-0.7221003809994175,-0.040039043899272375
1514.811,-0.7457479908166696,-0.7206120171821965,-0.025135973634473174
1515.293,-0.7252616313884287,-0.7190098999985232,-0.006251731389905535
1515.775,-0.7064168345031043,-0.7172845819209466,0.010867747417842244
